"Composite.Variable","Adaptive.Mgmt","Year","Site","alfalfa","alsike clover","antelope horns","birdsfoot trefoil","black medick","black-eyed susan","blackberry","blue-eyed grass","broadleaf plantain","buttercup","butterfly milkweed","canada anemone","catnip","chickweed","chicory","common cinquefoil","common milkweed","common mullein","compass plant","corn speedwell","crown vetch","culver's root","cup plant","daisy fleabane","dandelion","deptford pink","dogbane","downy cinquefoil","field milkwort","field mint","field pennycress","fieldcress","flowering spurge","fringed loosestrife","germander","golden alexander","grey-headed coneflower","grooved yellow flax","ground cherry","hairy mountain mint","hawkweed","hoary vervain","horsenettle","illinois bundleflower","ironweed","lady's thumb","lead plant","morning glory","moth mullein","multiflora rose","musk thistle","new england aster","old field goldenrod","osier dogwood","oxeye daisy","oxeye sunflower","pale purple coneflower","pale spike lobelia","partridge pea","prairie blazing star","prairie cinquefoil","prairie coreopsis","prairie petunia","prairie ragwort","prairie rose","prairie turnip","pretty bedstraw","purple coneflower","purple milkweed","purple prairie clover","pussy toes","queen anne's lace","rapeseed","rattlesnake master","red clover","ribwort plantain","rosinweed","round-headed bush clover","sawtooth sunflower","self-heal","shepherd's purse","showy goldenrod","showy tick trefoil","slender mountain mint","spiderwort","spotted st. john's wort","st. john's wort","sticky bedstraw","strawberry","sulfur cinquefoil","swamp agrimony","swamp milkweed","swamp vervain","tall coreopsis","tall green milkweed","thimbleweed","venus' looking glass","virginia bunchflower","white campion","white clover","white prairie clover","white sweet clover","white vervain","white wild indigo","whorled milkweed","wild bergamot","wild garlic","wild parsnip","wild quinine","winged loosestrife","yarrow","yellow oxalis","yellow sweet clover","Abundance","Species.Density","Diversity"
"16-PBG","PBG","16","PYS",0,0,0,8483,0,80,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,313,0,0,67,0,0,0,0,9,0,0,0,0,0,0,0,0,238,0,0,1118,0,0,0,0,30,0,0,0,7908,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,8,0,0,0,0,8,0,9,18458,21,1.14179028146319
"16-PBG","PBG","16","RIS",0,0,0,6103,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,5,0,0,0,31,0,0,0,0,0,0,21,0,0,766,0,0,7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,2,0,15,0,0,0,0,0,0,285,0,0,121,0,0,0,0,16,0,0,0,1113,0,0,14,0,0,0,68,0,8,0,3,0,0,0,0,40,0,0,0,10,0,249,0,0,0,0,11,0,1,8995,26,1.2303397568131
"17-BO","BO","17","KLT",0,0,0,3412,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,408,0,0,3,0,0,0,0,0,0,0,1,0,360,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,41,1136,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0,196,0,1,0,9,0,0,3,5652,22,1.25610647986614
"17-BO","BO","17","PAW",0,2,0,5,0,394,15,0,60,0,30,0,0,0,0,0,4,0,6,0,0,128,192,479,0,2,0,0,0,6,0,0,17,0,148,0,248,7,0,958,0,0,1,0,127,0,55,0,0,0,0,0,0,0,0,3,22,39,10,298,0,16,0,0,70,0,55,126,2,107,0,20,0,1147,15,0,194,0,0,0,0,0,165,6107,112,0,8,0,0,12,260,0,25,0,0,1,0,128,0,0,97,0,0,14,0,2354,0,87,134,45,340,0,0,14897,52,2.32458005879217
"17-BO","BO","17","RIN",0,0,0,0,0,409,0,9,0,0,59,0,0,0,0,2,0,0,9,0,0,0,0,2026,0,0,0,0,0,0,0,0,0,0,0,0,229,0,10,377,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,3,104,105,0,8,0,11,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,152,2422,0,15,0,0,0,22,0,10,82,0,12,0,0,0,0,0,0,0,0,0,16,6,0,0,0,26,8,0,0,6202,29,1.75678125178093
"17-GB","GB","17","GIL",0,871,0,4471,153,7,0,0,48,0,0,0,0,9,109,3,0,0,0,0,0,0,0,1166,1,384,0,0,0,0,0,0,0,0,120,0,7,0,0,0,0,145,9,0,95,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,280,0,0,533,2209,0,0,0,53,0,0,0,58,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6165,0,0,0,0,0,1004,0,0,0,0,0,12,31,18078,29,1.99645813580922
"17-GB","GB","17","LTR",0,188,0,240,376,9,0,1,405,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1407,0,331,0,0,0,0,0,0,0,0,41,0,5,7,0,34,0,66,18,0,393,0,0,0,5,0,0,0,0,0,0,0,0,1,7,0,0,0,47,0,0,0,0,0,0,0,0,1356,0,0,482,1318,0,0,0,4,0,0,15,263,0,0,1,0,0,0,1,0,14,0,0,0,0,0,0,1886,0,0,0,16,0,19,0,0,0,0,94,0,8,9062,35,2.40030059958356
"17-GB","GB","17","PYW",0,14,0,20487,23,80,0,10,0,0,0,9,0,0,0,37,0,0,0,0,0,0,0,564,0,63,0,0,0,0,0,6,0,0,7,0,13,0,0,0,0,0,7,0,0,0,0,0,0,12,0,0,0,0,848,0,0,2,0,0,0,0,42,0,0,0,0,0,0,0,0,115,0,0,1331,25,0,0,0,99,0,0,0,1680,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,260,0,3,0,33,0,1,0,0,0,0,22,0,0,25825,29,0.916539499980206
"17-GB","GB","17","STE",0,69,0,12603,210,1024,0,0,19,0,0,0,0,12,53,0,0,0,0,0,0,0,0,6034,0,876,0,0,0,74,0,0,0,0,106,0,7,0,0,0,0,1,10,8,35,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,8,0,0,0,210,0,0,0,0,1745,3,0,6646,1082,0,0,0,106,0,0,0,190,22,0,3,0,0,4,0,0,17,0,9,0,6,0,0,313,0,0,0,0,0,115,0,1,0,0,151,0,33,31831,37,1.80989521824578
"17-H+","H+","17","BSH",0,2,0,116,5,63,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,0,0,3052,0,73,2,0,0,0,0,0,12,0,0,0,368,0,0,0,0,0,2,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651,0,0,116,0,0,0,1,32,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,67,0,57,0,0,0,0,1,4674,24,1.31328892751355
"17-H+","H+","17","DUN",0,0,0,0,0,64,0,0,0,0,0,0,0,0,175,29,15,0,0,0,0,0,0,17815,0,272,122,16,0,0,0,0,0,0,0,0,157,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0,0,53,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,84,4158,1225,4,0,0,1,0,0,0,0,63,0,47,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,0,11,0,0,0,0,0,25566,25,1.11500573864099
"17-H+","H+","17","RC2",0,0,0,12699,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,187,0,1,0,1,0,0,2,0,0,0,0,0,574,0,0,0,0,0,15,0,0,0,0,166,0,0,0,0,5,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,159,244,0,0,0,0,0,5,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,15511,19,0.82223490279482
"17-PBG","PBG","17","KLN",0,90,0,1936,157,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,19,0,0,10,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,1,317,4,0,0,0,4,0,0,0,124,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,19,0,3,3194,21,1.56861554731631
"17-PBG","PBG","17","PYN",0,37,0,12533,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,114,0,16,0,0,0,0,0,0,0,0,0,34,0,0,3,0,0,1,0,41,0,0,0,0,0,0,0,0,349,0,0,2483,66,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,46,0,18,0,0,0,0,768,0,24,0,0,2,2,0,0,0,0,0,1,29,16619,26,0.895857645088868
"17-PBG","PBG","17","PYS",0,3,0,33197,0,79,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,48,0,45,0,0,0,0,0,0,0,0,0,129,0,0,32,0,0,0,0,60,0,0,0,0,0,0,0,0,739,0,0,1143,1,0,0,0,9,0,0,0,3265,0,0,3,0,6,0,0,0,2,0,29,0,0,0,0,59,0,0,0,2,0,25,0,0,0,0,7,0,0,38927,25,0.622120849825548
"17-PBG","PBG","17","RIS",0,0,0,21314,81,0,731,0,29,0,0,3,0,1,0,10,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,10,0,18,0,0,106,0,2,44,0,35,0,0,0,0,8,0,0,0,0,0,0,0,21,0,0,0,0,25,0,12,0,0,0,0,0,0,183,0,0,107,10,0,0,0,16,3,0,0,3632,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,163,0,0,0,30,0,55,0,0,0,0,13,0,0,26684,31,0.77354740995158
"18-BO","BO","18","KLT",0,0,0,2116,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1576,0,5,0,0,0,0,0,0,0,74,0,0,424,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,76,0,4,0,44,0,0,0,0,0,0,0,0,39,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,0,3,0,14,0,26,0,0,0,3,5,4641,21,1.44185723210907
"18-BO","BO","18","PAW",0,0,0,7,0,95,144,0,0,0,40,10,0,0,0,0,15,0,0,0,0,74,0,133,0,5,0,0,0,0,0,0,30,0,75,0,125,0,26,302,0,0,3,0,35,0,53,1,0,0,0,0,0,0,0,225,7,0,35,6,0,2,8,0,76,0,0,85,15,112,0,1,0,145,0,0,1,0,11,0,0,0,127,176,72,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,102,0,0,3,2,110,0,8,66,14,34,0,0,2623,44,3.21084238081084
"18-BO","BO","18","RIN",0,0,0,0,0,5,22,0,0,0,61,0,0,0,0,0,0,0,6,0,0,0,0,322,0,5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,1,0,14,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,31,0,0,0,0,24,0,0,11,0,0,0,0,0,0,0,0,0,82,0,0,15,0,0,0,0,2,74,2,1,751,23,2.12578587850676
"18-GB","GB","18","GIL",0,9,0,2474,54,0,0,0,0,0,0,2,1,0,297,1,4,1,0,0,0,0,0,45,2,112,0,0,0,0,0,3,0,0,45,0,11,0,0,0,0,16,30,0,61,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,260,0,0,198,501,0,0,0,12,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0,56,0,0,0,0,16,0,3,5199,29,1.86063354072182
"18-GB","GB","18","LTR",0,11,0,81,168,32,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,680,0,112,0,0,0,0,0,0,0,0,23,0,99,0,0,0,0,15,11,0,174,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,26,0,0,0,0,0,0,0,0,552,0,0,285,70,0,0,0,0,0,0,0,242,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,20,3,21,0,0,0,0,474,0,26,3175,28,2.43535177251111
"18-GB","GB","18","PYW",0,0,2,17511,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,1,0,0,0,0,0,0,0,0,8,0,119,0,1,0,1,1,42,0,37,0,0,1,0,0,0,0,0,0,39,0,0,52,0,0,0,0,305,0,0,0,0,0,0,0,0,136,0,0,1264,32,0,0,1,3,0,0,0,757,0,0,0,0,0,58,0,0,0,0,10,0,0,0,0,121,0,48,0,0,0,61,0,0,0,0,8,0,2,20759,29,0.75018697228077
"18-GB","GB","18","STE",0,27,0,13212,26,33,0,0,0,0,0,0,0,72,34,0,0,0,0,0,0,0,0,267,0,273,0,0,0,0,5,2,0,0,149,0,5,0,0,0,0,0,47,4,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,3,165,0,846,273,1,0,0,16,0,0,0,102,4,0,0,150,0,3,0,0,0,0,24,0,0,0,0,17,0,0,0,0,0,27,0,2,0,0,10,3,0,15824,34,0.841127274271766
"18-H+","H+","18","DUN",0,0,0,0,0,14,0,0,0,0,0,0,0,0,238,0,6,0,14,0,0,0,0,306,0,40,48,0,0,0,0,0,0,0,0,1,359,0,0,0,0,0,9,0,0,0,0,20,0,0,6,0,0,0,154,39,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,220,0,0,4437,325,6,0,163,0,0,0,0,0,381,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,142,0,0,6950,27,1.54249489957481
"18-H+","H+","18","RC2",40,5,0,8452,0,4,0,0,0,0,6,2,0,0,0,0,0,0,0,0,29,0,0,349,0,77,0,0,0,0,0,0,0,0,0,0,630,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,701,0,0,128,0,0,0,4,0,0,0,0,72,0,0,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,4,0,0,0,0,0,10744,21,0.926053569984598
"18-PBG","PBG","18","KLN",0,305,0,1455,370,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,1,213,0,0,1,0,0,0,0,0,0,0,19,0,0,20,0,0,3,0,1,1,0,0,0,0,0,0,0,0,71,0,0,68,0,0,0,0,1,0,0,0,0,0,0,0,0,609,0,0,704,7,0,0,0,67,0,0,0,134,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,729,0,428,0,0,0,1,0,0,0,0,169,1,48,6075,28,2.43917433464735
"18-PBG","PBG","18","PYN",0,26,0,9102,69,17,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,99,0,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,38,0,11,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,287,0,0,660,63,0,0,0,10,0,0,0,18,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,479,0,21,0,0,1,0,0,0,0,0,0,0,61,11081,22,0.837559158115099
"18-PBG","PBG","18","PYS",0,2,0,12402,33,112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,0,55,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,51,0,2,0,0,0,0,0,0,0,0,0,190,0,0,159,0,0,0,0,1,0,0,0,0,0,0,0,0,330,0,0,1667,0,0,0,0,2,0,0,0,440,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,250,0,0,0,7,0,2,0,0,0,0,69,9,11,15890,25,0.936784562517473
"18-PBG","PBG","18","RIS",0,1,0,8295,455,3,27,0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0,269,0,187,0,0,0,0,0,0,0,0,7,0,18,0,0,23,0,12,66,0,131,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,4,0,41,0,0,0,0,0,0,0,0,657,0,0,457,112,0,0,0,4,0,0,0,270,0,5,0,0,9,0,1,0,0,0,4,0,0,0,0,173,0,124,0,3,0,52,0,0,0,18,28,9,41,11562,36,1.33083370584644
